"Date";"D0";"D1";"Value"
"2010";"S";"AB";"55470.96883406"
"2010";"S";"AC";"-4.23052785"
"2010";"S";"AD";"-1869.36174098"
"2010";"S";"BCA";"38275.36673357"
"2010";"S";"B";"7417.03537259"
"2010";"S";"BP";"1.18759"
"2010";"S";"BBB";"7634.34484382"
"2010";"S";"BB";"1.22238484"
"2010";"SD";"AA";"198390.02327466"
"2010";"SD";"AE";"196179.65959816"
"2010";"SD";"AB";"195087.53226652"
"2010";"SD";"AC";"1092.12733164"
"2010";"SD";"AD";"2210.3636765"
"2010";"SD";"BCA";"161689.26983161"
"2010";"SD";"B";"182414.07387361"
"2010";"SD";"BP";"29.20750935"
"2010";"SD";"BBB";"258694.0295846"
"2010";"SD";"BB";"41.4211915"
"2011";"B";"AA";"67671.02409804"
"2011";"B";"AE";"67502.79276362"
"2011";"B";"AB";"66183.71523195"
"2011";"B";"AC";"1319.07753167"
"2011";"B";"AD";"168.23133442"
"2011";"B";"BCA";"59320.35291419"
"2011";"B";"B";"104200.04331099"
"2011";"B";"BP";"16.39038744"
"2011";"B";"BBB";"134758.79865168"
"2011";"B";"BB";"21.19719773"
"2011";"K";"AA";"81550.56881553"
"2011";"K";"AE";"80216.57655593"
"2011";"K";"AB";"80313.10053357"
"2011";"K";"AC";"-96.52397764"
"2011";"K";"AD";"1333.9922596"
"2011";"K";"BCA";"41227.29246006"
"2011";"K";"B";"39384.87578174"
"2011";"K";"BP";"6.19513537"
"2011";"K";"BBB";"69780.36881925"
"2011";"K";"BB";"10.97626493"
"2011";"G";"AA";"43361.25748103"
"2011";"G";"AE";"43505.36563777"
"2011";"G";"AB";"43571.24026016"
"2011";"G";"AC";"-65.87462239"
"2011";"G";"AD";"-144.10815674"
"2011";"G";"BCA";"25410.95463233"
"2011";"G";"B";"39318.86851122"
"2011";"G";"BP";"6.1847526"
"2011";"G";"BBB";"63184.04139602"
"2011";"G";"BB";"9.93868031"
"2011";"S";"AA";"58285.6570691"
"2011";"S";"AE";"55299.06957113"
"2011";"S";"AB";"55303.8112331"
"2011";"S";"AC";"-4.74166197"
"2011";"S";"AD";"2986.58749797"
"2011";"S";"BCA";"40904.55401433"
"2011";"S";"B";"6029.63272796"
"2011";"S";"BP";"0.94844506"
"2011";"S";"BBB";"6176.41245178"
"2011";"S";"BB";"0.97153312"
"2011";"SD";"AA";"204224.89887049"
"2011";"SD";"AE";"199880.19593525"
"2011";"SD";"AB";"198728.25866558"
"2011";"SD";"AC";"1151.93726967"
"2011";"SD";"AD";"4344.70293524"
"2011";"SD";"BCA";"166863.15402091"
"2011";"SD";"B";"181288.38059229"
"2011";"SD";"BP";"28.51617622"
"2011";"SD";"BBB";"266254.58157911"
"2011";"SD";"BB";"41.88113183"
"2012";"B";"AA";"67109.24505263"
"2012";"B";"AE";"66677.52871704"
"2012";"B";"AB";"65529.01219929"
"2012";"B";"AC";"1148.51651775"
"2012";"B";"AD";"431.71633559"
"2012";"B";"BCA";"59073.38422704"
"2012";"B";"B";"105412.34456404"
"2012";"B";"BP";"16.37738941"
"2012";"B";"BBB";"137131.95181434"
"2012";"B";"BB";"21.30550634"
"2012";"K";"AA";"82665.41546335"
"2012";"K";"AE";"83617.50224152"
"2012";"K";"AB";"83411.09972101"
"2012";"K";"AC";"206.40252051"
"2012";"K";"AD";"-952.08677817"
"2012";"K";"BCA";"42036.72803371"
"2012";"K";"B";"42954.09212134"
"2012";"K";"BP";"6.67356273"
"2012";"K";"BBB";"73138.0813521"
"2012";"K";"BB";"11.36309836"
"2012";"G";"AA";"43453.58491785"
"2012";"G";"AE";"44307.27263476"
"2012";"G";"AB";"43954.72035522"
"2012";"G";"AC";"352.55227954"
"2012";"G";"AD";"-853.68771691"
"2012";"G";"BCA";"25510.2054952"
"2012";"G";"B";"39902.54181682"
"2012";"G";"BP";"6.1994586"
"2012";"G";"BBB";"63855.56689165"
"2012";"G";"BB";"9.92092045"
"2012";"S";"AA";"59198.16764401"
"2012";"S";"AE";"56310.04533928"
"2012";"S";"AB";"56311.10714264"
"2012";"S";"AC";"-1.06180336"
"2012";"S";"AD";"2888.12230473"
"2012";"S";"BCA";"41804.49419006"
"2012";"S";"B";"6249.60340928"
"2012";"S";"BP";"0.97096966"
"2012";"S";"BBB";"6415.24895503"
"2012";"S";"BB";"0.99670518"
"2012";"SD";"AA";"205265.84943974"
"2012";"SD";"AE";"203751.78529451"
"2012";"SD";"AB";"202045.37578007"
"2012";"SD";"AC";"1706.40951444"
"2012";"SD";"AD";"1514.06414523"
"2012";"SD";"BCA";"168424.81194601"
"2012";"SD";"B";"188024.55015422"
"2012";"SD";"BP";"29.21243513"
"2012";"SD";"BBB";"274046.81725586"
"2012";"SD";"BB";"42.57728506"
"2013";"B";"AA";"69180.35024783"
"2013";"B";"AE";"68248.46197971"
"2013";"B";"AB";"67102.45484538"
"2013";"B";"AC";"1146.00713433"
"2013";"B";"AD";"931.88826812"
"2013";"B";"BCA";"60660.36639248"
"2013";"B";"B";"104849.69958994"
"2013";"B";"BP";"16.0170838"
"2013";"B";"BBB";"132948.8231409"
"2013";"B";"BB";"20.30957122"
"2013";"K";"AA";"84210.2171682"
"2013";"K";"AE";"88639.53563873"
"2013";"K";"AB";"89095.11016551"
"2013";"K";"AC";"-455.57452678"
"2013";"K";"AD";"-4429.31847053"
"2013";"K";"BCA";"42731.23699524"
"2013";"K";"B";"45661.8691919"
"2013";"K";"BP";"6.97541327"
"2013";"K";"BBB";"77494.42559686"
"2013";"K";"BB";"11.83822857"
"2013";"G";"AA";"44023.02235677"
"2013";"G";"AE";"45400.50018196"
"2013";"G";"AB";"44750.2951075"
"2013";"G";"AC";"650.20507446"
"2013";"G";"AD";"-1377.47782519"
"2013";"G";"BCA";"26185.30676776"
"2013";"G";"B";"41541.24259983"
"2013";"G";"BP";"6.34593677"
"2013";"G";"BBB";"65201.511528"
"2013";"G";"BB";"9.96033444"
"2013";"S";"AA";"60521.85083643"
"2013";"S";"AE";"58478.5731269"
"2013";"S";"AB";"58480.90786989"
"2013";"S";"AC";"-2.33474299"
"2013";"S";"AD";"2043.27770953"
"2013";"S";"BCA";"42718.13210778"
"2013";"S";"B";"4417.93790661"
"2013";"S";"BP";"0.67489446"
"2013";"S";"BBB";"4852.73111433"
"2013";"S";"BB";"0.74131448"
